"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2022",5.55899107937372,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2023",5.59664903667944,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2024",5.66122310681486,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2025",5.61551919040791,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1960",6.94369530374918,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1961",7.14627041082807,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1962",5.88434487375124,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1963",5.5310448250659,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1964",4.66703025172637,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1965",3.8621398216037,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1966",3.33574328457817,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1967",3.82625345567592,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1968",4.47792491009552,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1969",4.41820973531416,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1970",5.71587290565139,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1971",6.19012243244025,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1972",6.23519165394593,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1973",5.5403778061362,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1974",5.33518925181125,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1975",6.93251328676004,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1976",7.0876819677728,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1977",8.0636878040342,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1978",8.37920119357246,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1979",7.50860712639726,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1980",7.52251272153009,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1981",7.61677622169979,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1982",11.1129599116905,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1983",11.9950132485532,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1984",11.3742298174433,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1985",10.499432789925,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1986",9.60416735957408,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1987",8.80217567744953,
"CAN","UNEMPFORECAST","TOT","PC_LF","A","1988",7.75939847805369,
